question,temporality,feature,label,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
1,False,all,depression,selection feature,LinearSVC,0.5452380952380953,0.1502077171008334,0.593095238095238,0.11044000844283111
1,False,all,depression,selection feature,LogisticRegression,0.530952380952381,0.1504905056481951,0.5692857142857143,0.11613215749539463
1,False,all,depression,selection feature,KNeighborsClassifier,0.5,0.11785113019775792,0.5266666666666666,0.15347819244295122
1,False,all,depression,selection feature,SVC,0.4333333333333333,0.25276251480171835,0.4644444444444444,0.1592129562318933
1,False,all,depression,selection feature,RandomForestClassifier,0.3833333333333333,0.27386127875258304,0.4927777777777777,0.19420223009234344
1,False,all,depression,selection feature,GaussianNB,0.38095238095238093,0.2586376307428623,0.4420634920634921,0.1366071068344986
1,False,all,depression,selection feature,DecisionTreeClassifier,0.32142857142857145,0.2258769757263128,0.362012987012987,0.18100629129205278
1,False,all,depression,selection feature,GradientBoostingClassifier,0.27999999999999997,0.2588435821108957,0.3788888888888889,0.1491953727809923
1,False,all,depression,selection feature,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,PCA,GaussianNB,0.6047619047619047,0.1974899176507402,0.6712698412698412,0.1648666498103928
1,False,all,depression,PCA,GradientBoostingClassifier,0.5380952380952381,0.19240098905558972,0.6547619047619048,0.13820808197389356
1,False,all,depression,PCA,LinearSVC,0.5342857142857143,0.12725962178895742,0.5388095238095237,0.17283566047803856
1,False,all,depression,PCA,LogisticRegression,0.4885714285714286,0.0859520511799504,0.5814285714285714,0.05206615362921959
1,False,all,depression,PCA,SVC,0.4809523809523809,0.2778684659218125,0.5971428571428572,0.17050969011105704
1,False,all,depression,PCA,KNeighborsClassifier,0.48,0.1315527363796724,0.5161904761904761,0.13237752650585946
1,False,all,depression,PCA,DecisionTreeClassifier,0.40476190476190477,0.31134992453861954,0.5380952380952382,0.21843210623443982
1,False,all,depression,PCA,RandomForestClassifier,0.36,0.3507135583350037,0.5682828282828283,0.21604517537845108
1,False,all,depression,PCA,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,t-SNE,KNeighborsClassifier,0.6185714285714285,0.16000637742392188,0.6541269841269841,0.13572171148346904
1,False,all,depression,t-SNE,LinearSVC,0.6,0.14907119849998596,0.6709090909090909,0.1457901352785444
1,False,all,depression,t-SNE,LogisticRegression,0.5599999999999999,0.14605934866804426,0.6592424242424242,0.1184830078133395
1,False,all,depression,t-SNE,GaussianNB,0.5542857142857143,0.19099928173577715,0.6243650793650793,0.1635078586914632
1,False,all,depression,t-SNE,SVC,0.5266666666666666,0.31304951684997057,0.6758585858585858,0.18869581771004657
1,False,all,depression,t-SNE,DecisionTreeClassifier,0.36095238095238097,0.22147720919997915,0.45714285714285713,0.12246291492888699
1,False,all,depression,t-SNE,RandomForestClassifier,0.29333333333333333,0.2890597785157173,0.5096969696969698,0.19115424374986098
1,False,all,depression,t-SNE,GradientBoostingClassifier,0.28095238095238095,0.27063375692157754,0.41047619047619044,0.13037317796571435
1,False,all,depression,t-SNE,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,SMOTE,KNeighborsClassifier,0.6579365079365079,0.15913638494971918,0.5956349206349205,0.23540310013150698
1,False,all,depression,SMOTE,LogisticRegression,0.6133333333333333,0.11925695879998877,0.6942424242424242,0.09563565070594968
1,False,all,depression,SMOTE,LinearSVC,0.6,0.14907119849998596,0.6709090909090909,0.1457901352785444
1,False,all,depression,SMOTE,GaussianNB,0.5542857142857143,0.19099928173577715,0.6243650793650793,0.1635078586914632
1,False,all,depression,SMOTE,RandomForestClassifier,0.5142857142857142,0.12210363242817222,0.6088095238095238,0.11216282301285552
1,False,all,depression,SMOTE,SVC,0.49333333333333335,0.30313180118372424,0.6625252525252525,0.18595476760311122
1,False,all,depression,SMOTE,DecisionTreeClassifier,0.41714285714285715,0.2964758998361814,0.516031746031746,0.23757907012795168
1,False,all,depression,SMOTE,GradientBoostingClassifier,0.3466666666666667,0.2062899792902107,0.48,0.13091557924436986
1,False,all,depression,SMOTE,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,depression,Pass,KNeighborsClassifier,0.6185714285714285,0.16000637742392188,0.6541269841269841,0.13572171148346904
1,False,all,depression,Pass,LinearSVC,0.6,0.14907119849998596,0.6709090909090909,0.1457901352785444
1,False,all,depression,Pass,LogisticRegression,0.5599999999999999,0.14605934866804426,0.6592424242424242,0.1184830078133395
1,False,all,depression,Pass,GaussianNB,0.5542857142857143,0.19099928173577715,0.6243650793650793,0.1635078586914632
1,False,all,depression,Pass,SVC,0.5266666666666666,0.31304951684997057,0.6758585858585858,0.18869581771004657
1,False,all,depression,Pass,DecisionTreeClassifier,0.36095238095238097,0.22147720919997915,0.45714285714285713,0.12246291492888699
1,False,all,depression,Pass,RandomForestClassifier,0.29333333333333333,0.2890597785157173,0.5096969696969698,0.19115424374986098
1,False,all,depression,Pass,GradientBoostingClassifier,0.28095238095238095,0.27063375692157754,0.41047619047619044,0.13037317796571435
1,False,all,depression,Pass,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
1,False,all,anxiety,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,selection feature,GradientBoostingClassifier,0.6544444444444444,0.23035131515809007,0.6155555555555555,0.19414262289536363
1,False,all,anxiety,selection feature,SVC,0.6452380952380953,0.07548032135308266,0.5919047619047619,0.09040724189883848
1,False,all,anxiety,selection feature,LogisticRegression,0.6361904761904762,0.10042991486829768,0.6195238095238096,0.07214717887416763
1,False,all,anxiety,selection feature,RandomForestClassifier,0.6285714285714286,0.1146200466848658,0.6047619047619047,0.12057061517065581
1,False,all,anxiety,selection feature,KNeighborsClassifier,0.6142857142857142,0.12727521200861042,0.5726190476190476,0.15694431902549522
1,False,all,anxiety,selection feature,GaussianNB,0.6134920634920634,0.22663559655446536,0.601984126984127,0.21602213861985933
1,False,all,anxiety,selection feature,LinearSVC,0.6095238095238095,0.052164053095730106,0.6007142857142858,0.06740450539050617
1,False,all,anxiety,selection feature,DecisionTreeClassifier,0.4776190476190476,0.18072981299753077,0.5388095238095237,0.12751883947781484
1,False,all,anxiety,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,PCA,LogisticRegression,0.5666666666666667,0.14907119849998596,0.4966666666666667,0.05322906474223769
1,False,all,anxiety,PCA,LinearSVC,0.5476190476190477,0.13883218797250715,0.5042857142857142,0.06182228938540379
1,False,all,anxiety,PCA,KNeighborsClassifier,0.5326984126984127,0.16523801899880833,0.4432539682539682,0.19532236212188495
1,False,all,anxiety,PCA,RandomForestClassifier,0.5142857142857142,0.16970028267814724,0.5042857142857142,0.06182228938540377
1,False,all,anxiety,PCA,GaussianNB,0.5142857142857142,0.16970028267814724,0.5042857142857142,0.06182228938540379
1,False,all,anxiety,PCA,SVC,0.5095238095238095,0.10323563518418474,0.5195238095238095,0.07323896215970903
1,False,all,anxiety,PCA,DecisionTreeClassifier,0.46317460317460313,0.07315721309733102,0.46145743145743146,0.14742797311450864
1,False,all,anxiety,PCA,GradientBoostingClassifier,0.4464069264069265,0.28730281214701187,0.39534632034632033,0.18838730630827777
1,False,all,anxiety,t-SNE,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,t-SNE,RandomForestClassifier,0.6142857142857142,0.12727521200861042,0.5809523809523809,0.1285355990640623
1,False,all,anxiety,t-SNE,LinearSVC,0.6,0.18066236157232332,0.5666666666666667,0.1357847561400027
1,False,all,anxiety,t-SNE,LogisticRegression,0.5666666666666667,0.18066236157232332,0.5433333333333332,0.15200054824462528
1,False,all,anxiety,t-SNE,KNeighborsClassifier,0.5326984126984127,0.16523801899880833,0.43849206349206343,0.18008310768634933
1,False,all,anxiety,t-SNE,GradientBoostingClassifier,0.49428571428571433,0.13275384275583102,0.5342857142857143,0.13102379005390857
1,False,all,anxiety,t-SNE,DecisionTreeClassifier,0.4809523809523809,0.14715749657488042,0.5109523809523809,0.14122680814161487
1,False,all,anxiety,t-SNE,SVC,0.47777777777777775,0.3370166864022911,0.49676767676767675,0.21519911030440758
1,False,all,anxiety,t-SNE,GaussianNB,0.4714285714285714,0.20732750390999985,0.44642857142857134,0.19333787820132992
1,False,all,anxiety,SMOTE,SVC,0.6566666666666666,0.16889254382010088,0.4833333333333333,0.2902212863690884
1,False,all,anxiety,SMOTE,RandomForestClassifier,0.6428571428571429,0.09780759955449396,0.6357142857142857,0.06908352924978169
1,False,all,anxiety,SMOTE,LogisticRegression,0.5666666666666667,0.18066236157232332,0.5433333333333332,0.15200054824462528
1,False,all,anxiety,SMOTE,DecisionTreeClassifier,0.5566666666666666,0.20869967789998037,0.5616666666666666,0.15316113519210198
1,False,all,anxiety,SMOTE,LinearSVC,0.5238095238095238,0.22128131304096552,0.5171428571428571,0.1866213349961278
1,False,all,anxiety,SMOTE,GaussianNB,0.5142857142857142,0.17963966199941842,0.4726190476190476,0.17402954111052044
1,False,all,anxiety,SMOTE,KNeighborsClassifier,0.51,0.33821426476257455,0.5705555555555556,0.28385436841651
1,False,all,anxiety,SMOTE,GradientBoostingClassifier,0.4866666666666667,0.1849924923401548,0.5266666666666666,0.1294217910554479
1,False,all,anxiety,SMOTE,HistGradientBoostingClassifier,0.0,0.0,0.3193939393939394,0.028635962799824118
1,False,all,anxiety,Pass,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
1,False,all,anxiety,Pass,RandomForestClassifier,0.6142857142857142,0.12727521200861042,0.5809523809523809,0.1285355990640623
1,False,all,anxiety,Pass,LinearSVC,0.6,0.18066236157232332,0.5666666666666667,0.1357847561400027
1,False,all,anxiety,Pass,LogisticRegression,0.5666666666666667,0.18066236157232332,0.5433333333333332,0.15200054824462528
1,False,all,anxiety,Pass,KNeighborsClassifier,0.5326984126984127,0.16523801899880833,0.43849206349206343,0.18008310768634933
1,False,all,anxiety,Pass,GradientBoostingClassifier,0.49428571428571433,0.13275384275583102,0.5342857142857143,0.13102379005390857
1,False,all,anxiety,Pass,DecisionTreeClassifier,0.4809523809523809,0.14715749657488042,0.5109523809523809,0.14122680814161487
1,False,all,anxiety,Pass,SVC,0.47777777777777775,0.3370166864022911,0.49676767676767675,0.21519911030440758
1,False,all,anxiety,Pass,GaussianNB,0.4714285714285714,0.20732750390999985,0.44642857142857134,0.19333787820132992
2,False,all,depression,selection feature,GradientBoostingClassifier,0.3857142857142857,0.24536520053310953,0.49158730158730163,0.1504607854950296
2,False,all,depression,selection feature,DecisionTreeClassifier,0.3476190476190476,0.3227925205729967,0.48867965367965366,0.16314036035907503
2,False,all,depression,selection feature,GaussianNB,0.3180952380952381,0.20817749273330585,0.4606349206349206,0.08740362002889068
2,False,all,depression,selection feature,SVC,0.2571428571428571,0.27684651149997397,0.44134920634920627,0.1567606985302072
2,False,all,depression,selection feature,LogisticRegression,0.21714285714285717,0.20364033921377672,0.4204761904761905,0.11318417555635542
